Quote,Genre
The only way out of the labyrinth of suffering is to forgive.,Literature
It is better to be hated for what you are than to be loved for what you are not.,Literature
"All that is gold does not glitter, Not all those who wander are lost.",Literature
We accept the love we think we deserve.,Literature
It does not do to dwell on dreams and forget to live.,Literature
"There are darknesses in life and there are lights, and you are one of the lights, the light of all lights.",Literature
"We are all in the gutter, but some of us are looking at the stars.",Literature
The unexamined life is not worth living.,Philosophy
"Whereof one cannot speak, thereof one must be silent.",Philosophy
"I think, therefore I am.",Philosophy
To be is to be perceived.,Philosophy
"In the beginning there was nothing, which exploded.",Philosophy
The only true wisdom is in knowing you know nothing.,Philosophy
Life must be understood backwards; but... it must be lived forward.,Philosophy
"I don't need a hair stylist, my pillow gives me a new hairstyle every morning.",Funny
"I'm not lazy, I'm on energy saving mode.",Funny
"I'm not clumsy, I'm just on a mission to find the floor.",Funny
My bed is a magical place where I suddenly remember everything I was supposed to do.,Funny
"I'm not arguing, I'm just explaining why I'm right.",Funny
"I'm not short, I'm concentrated awesome!",Funny
"I'm not a complete idiot, some parts are missing.",Funny
The only way to do great work is to love what you do.,Motivational
Believe you can and you're halfway there.,Motivational
The future belongs to those who believe in the beauty of their dreams.,Motivational
"Success is not final, failure is not fatal: It is the courage to continue that counts.",Motivational
It always seems impossible until it's done.,Motivational
You are never too old to set another goal or to dream a new dream.,Motivational
Don't watch the clock; do what it does. Keep going.,Motivational
The best way to cheer yourself up is to try to cheer somebody else up.,Happy
Happiness is not something ready made. It comes from your own actions.,Happy
"Count your age by friends, not years. Count your life by smiles, not tears.",Happy
The purpose of our lives is to be happy.,Happy
"Happiness is not by chance, but by choice.",Happy
"The happiest people don't have the best of everything, they just make the best of everything.",Happy
Be happy for this moment. This moment is your life.,Happy
I am so clever that sometimes I don't understand a single word of what I am saying.,Humour
Some people never go crazy. What truly horrible lives they must lead.,Humour
"I intend to live forever, or die trying.",Humour
The only mystery in life is why the kamikaze pilots wore helmets.,Humour
I'm writing a book. I've got the page numbers done.,Humour
"When I die, I want to go peacefully like my grandfather did, in his sleep - not screaming, like the passengers in his car.",Humour
"I asked God for a bike, but I know God doesn't work that way. So I stole a bike and asked for forgiveness.",Humour
You must be the change you wish to see in the world.,Self-Improvement
No one can make you feel inferior without your consent.,Self-Improvement
The only limit to our realization of tomorrow will be our doubts of today.,Self-Improvement
"You yourself, as much as anybody in the entire universe, deserve your love and affection.",Self-Improvement
It is never too late to be what you might have been.,Self-Improvement
The only person you are destined to become is the person you decide to be.,Self-Improvement
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,Self-Improvement
